aapa|a sister that is older than oneself
abditive|having the quality of hiding
acorned|furnished or loaded with acorns
aculeous|pertaining to a needle
acyrology|the incorrect use of language
aerophobia|an aversion to fresh air, drafts or breezes
agathokakological|composed of both good and evil
agrammaphasia|a speech disorder in which a person is unable to produce a grammatical or intelligible sentence
aletophyte|any plant that grows by the wayside or where the natural vegetation has been disrupted
alieniloquy|rambling or evasive talk
alliaphage|an eater of garlic
alphenic|white barley sugar
antlophobia|the fear of floods or inundation
calaboose|a local jail
diadem|a crown or tiara
chthonic|of or relating to the underworld
hebetude|lethargy
apimania|an excessive interest in bees
aprication|basking in the sun
arval|A funeral feast or wake at which bread and ale was served, traditional in Scotland
atshake|to flee away or escape
atychiphobia|the fear of failure
acuation|the act of sharpening
prosiliency|the act of leaping forth or forward
cornly|of or relating to corn
kati|a weight equivalent to about 1.5 pound
quadrality|a relationship between four objects
sublacune|located or occurring under the surface of a lake
fuggo|an ugly person
alectormancy|divination by sacrificing a rooster
opsimath|a person who learns late in life
facinorousness|extreme wickedness
enochlophobia|a fear of crowds
dirhinous|involving or possessing two nostrils
xylopolist|a timber merchant
xylologist|one who studies wood
antejentacular|occurring before breakfast
hyperferricemia|the medical condition of having too much iron in the body
nummet|light meal or luncheon
nummiform|shaped like a coin
snollygoster|a shrewd or unprincipled word
retiform|resembling a net
pilgarlic|a bald head
interfenestration|the space between two windows
rasher|a thin slice of bacon
gambrinous|being full of beer
ken|range of what one can know or understand
apricity|the warmth of the sun in winter
teetotal|advocating or pledged to total abstinence from drinking
abecedarian|a person who is learning the alphabet
accubation|the practice of eating or drinking while lying down
agelast|a person who never laughs
agraffe|the wire that holds the cork in a champagne bottle
alphamegamia|the marriage between a young woman and an older woman
anopisthography|the practice of writing on side of the paper
batrachophagous|one who eats frogs
bombilate|to loudly hum or buzz continuously
brevirostrate|having a short nose
bromidrosis|strong smelling perspiration
brontide|the low rumbling of distant thunder
cagamosis|an unhappy marriage
cacoethes|a bad habit or insatiable urge
callipygean|having well-shaped buttocks
causeuse|a sofa built for two people
chirotonsor|an alternate title for a barber
cruciverbalist|one who loves doing crossword puzzles
defenestrate|to throw out a window
capernoited|slightly intoxicated or tipsy
dehisce|to burst open, as the pod of a plant
dompteuse|a woman who trains animals
eccedentesiast|one who fakes a smile, as on television
estrapade|a horse's attempt to remove its rider
exsibilation|the collective hisses of a disapproving audience
gargalesis|heavy tickling
gongoozler|an idle spectator
gowpen|a double handful
hamartithia|being likely to make a mistake
inaniloquent|speaking foolishly or saying silly things
jentacular|pertaining to breakfast
jumentous|smelling like horse urine
knismesis|light tickling
kyphorrhinos|having a nose with a bump in it
lethologica|the inability to recall a precise word for something
mytacism|the incorrect or excessive use of the letter m
misocapnist|one who hates the smell of tobacco smoke
nelipot|someone who walks without shoes
nepheligenous|producing clouds of tobacco smoke
onychopagy|the habit of biting one's fingernails
petrichor|the smell of rain on dry ground
pogonotomy|the act of cutting a beard
pyknic|short and fat
qualtagh|the first person you see after leaving your house
quidnunc|one who always wants to know what is going on
quomodocunquize|to make money by any means possible
runcation|the act of weeding
saprostomous|having bad breath
sciapodous|having huge feet
scolecophagous|one who eats worms
tachyphagia|first eating
tarantism|an urge to overcome melancholy by dancing
thelemic|permitting people to do as they like
ulotrichous|having very wooly hair
ultracrepidarian|of one who speaks or offers opinions on matters beyond their knowledge
wanweird|an unhappy fate
witzelsucht|a feeble attempt at humor
vigesimation|the act of killing every twentieth person
xerophagy|a diet of bread and water
yclept|by the name of or called
zenzizenzizenzic|a number raised to the eighth power
chiroform|shaped like a hand
hippophagist|a person who eats horse meat
fazzolet|a handkerchief
neverthriving|a group of jugglers
kyriolexy|the use of literal expressions, as opposed to figurative
solipetal|moving towards the sun
antipluvial|combatting or protecting one from the rain
cod|a small bag or pouch
organoleptic|dealing with testing effects of a substance on senses
organonomy|laws of organic life
pancosmism|theory that the material universe is all that exists
pancratic|excelling all round in athletics or accomplishments
plutomania|mania for money
pluton|mass of rock solidified under earth's surface
rhabdology|knowledge or learning concerning divining rods or numbering rods
rhabdos|magic wand
simplex|figure with minimum number of vertices
simultanagnosia|inability to experience perceptions as components of a whole
telpherage|system of cargo conveyance using electric motor and cable
telson|last segment of a crustacean
temerarious|rashly or presumptuously daring
tempera|painting using white of egg instead of oil
varimax|method of statistical factor analysis
clepsydra|an early clock using the flow of water into or out of a container
comess|a confused or noisy situation
edacious|having to do with eating or fond of eating
logomachy|an argument about words
nacarat|a bright orange-red color
paraph|a flourish after a signature
plew|a beaver skin
